arm,image_path,true_label,original_prediction,perturbed_prediction,mode,stability,prediction_flipped,original_confidence,perturbed_confidence,confidence_change
A0,/kaggle/input/datasets/tawsifurrahman/covid19-radiography-database/COVID-19_Radiography_Dataset/COVID/images/COVID-1000.png,0,0,0,zero,0.999648928642273,False,0.9995757937431335,0.9999269247055054,0.00035113096237182617
A0,/kaggle/input/datasets/tawsifurrahman/covid19-radiography-database/COVID-19_Radiography_Dataset/COVID/images/COVID-1002.png,0,0,0,zero,0.9865993857383728,False,0.998955249786377,0.9864315390586853,-0.01252371072769165
A0,/kaggle/input/datasets/tawsifurrahman/covid19-radiography-database/COVID-19_Radiography_Dataset/COVID/images/COVID-1006.png,0,0,0,zero,0.9998999834060669,False,0.9999998807907104,0.9998998641967773,-0.00010001659393310547
A0,/kaggle/input/datasets/tawsifurrahman/covid19-radiography-database/COVID-19_Radiography_Dataset/COVID/images/COVID-1015.png,0,1,0,zero,0.23063290119171143,True,0.7701684236526489,0.994460940361023,0.22429251670837402
A0,/kaggle/input/datasets/tawsifurrahman/covid19-radiography-database/COVID-19_Radiography_Dataset/COVID/images/COVID-1017.png,0,0,0,zero,0.9789285659790039,False,0.9982002973556519,0.9771511554718018,-0.021049141883850098
A0,/kaggle/input/datasets/tawsifurrahman/covid19-radiography-database/COVID-19_Radiography_Dataset/COVID/images/COVID-1022.png,0,0,0,zero,0.9999909400939941,False,0.9999996423721313,0.9999905824661255,-9.059906005859375e-06
A0,/kaggle/input/datasets/tawsifurrahman/covid19-radiography-database/COVID-19_Radiography_Dataset/COVID/images/COVID-1036.png,0,0,0,zero,0.9999886751174927,False,0.9999783039093018,0.9999887943267822,1.049041748046875e-05
A0,/kaggle/input/datasets/tawsifurrahman/covid19-radiography-database/COVID-19_Radiography_Dataset/COVID/images/COVID-1040.png,0,0,0,zero,0.5078430771827698,False,0.9999704360961914,0.5078135132789612,-0.4921569228172302
A0,/kaggle/input/datasets/tawsifurrahman/covid19-radiography-database/COVID-19_Radiography_Dataset/COVID/images/COVID-1043.png,0,0,0,zero,0.9915486574172974,False,0.9998499155044556,0.9913985729217529,-0.008451342582702637
A0,/kaggle/input/datasets/tawsifurrahman/covid19-radiography-database/COVID-19_Radiography_Dataset/COVID/images/COVID-1048.png,0,0,0,zero,0.9997231960296631,False,0.9995933175086975,0.9998364448547363,0.00024312734603881836
A0,/kaggle/input/datasets/tawsifurrahman/covid19-radiography-database/COVID-19_Radiography_Dataset/COVID/images/COVID-1056.png,0,0,0,zero,0.6859239935874939,False,0.9958240985870361,0.6818049550056458,-0.3140191435813904
A0,/kaggle/input/datasets/tawsifurrahman/covid19-radiography-database/COVID-19_Radiography_Dataset/COVID/images/COVID-1058.png,0,0,0,zero,0.9998692274093628,False,0.9999580383300781,0.9998273253440857,-0.00013071298599243164
A0,/kaggle/input/datasets/tawsifurrahman/covid19-radiography-database/COVID-19_Radiography_Dataset/COVID/images/COVID-106.png,0,0,0,zero,0.9850742220878601,False,0.9999791383743286,0.9850533604621887,-0.014925777912139893
A0,/kaggle/input/datasets/tawsifurrahman/covid19-radiography-database/COVID-19_Radiography_Dataset/COVID/images/COVID-1065.png,0,0,0,zero,0.9987978339195251,False,0.9989668130874634,0.9980308413505554,-0.000935971736907959
A0,/kaggle/input/datasets/tawsifurrahman/covid19-radiography-database/COVID-19_Radiography_Dataset/COVID/images/COVID-107.png,0,0,0,zero,0.9917089343070984,False,0.9915905594825745,0.9995718598365784,0.007981300354003906
A0,/kaggle/input/datasets/tawsifurrahman/covid19-radiography-database/COVID-19_Radiography_Dataset/COVID/images/COVID-108.png,0,0,0,zero,0.997978687286377,False,0.9978739023208618,0.9997469782829285,0.0018730759620666504
A0,/kaggle/input/datasets/tawsifurrahman/covid19-radiography-database/COVID-19_Radiography_Dataset/COVID/images/COVID-11.png,0,0,0,zero,0.997782289981842,False,0.9987389445304871,0.9965212345123291,-0.002217710018157959
A0,/kaggle/input/datasets/tawsifurrahman/covid19-radiography-database/COVID-19_Radiography_Dataset/COVID/images/COVID-1100.png,0,0,0,zero,0.9939318299293518,False,0.999671459197998,0.9936032891273499,-0.006068170070648193
A0,/kaggle/input/datasets/tawsifurrahman/covid19-radiography-database/COVID-19_Radiography_Dataset/COVID/images/COVID-1102.png,0,0,0,zero,0.9935443997383118,False,0.9930676221847534,0.9990881681442261,0.006020545959472656
A0,/kaggle/input/datasets/tawsifurrahman/covid19-radiography-database/COVID-19_Radiography_Dataset/COVID/images/COVID-1105.png,0,0,0,zero,0.9088621139526367,False,0.9088189601898193,0.9995790123939514,0.09076005220413208
A0,/kaggle/input/datasets/tawsifurrahman/covid19-radiography-database/COVID-19_Radiography_Dataset/COVID/images/COVID-1108.png,0,0,0,zero,0.9996340870857239,False,0.999582827091217,0.9999477863311768,0.0003649592399597168
A0,/kaggle/input/datasets/tawsifurrahman/covid19-radiography-database/COVID-19_Radiography_Dataset/COVID/images/COVID-1110.png,0,0,0,zero,0.9999574422836304,False,0.9999407529830933,0.9998981952667236,-4.2557716369628906e-05
A0,/kaggle/input/datasets/tawsifurrahman/covid19-radiography-database/COVID-19_Radiography_Dataset/COVID/images/COVID-1112.png,0,0,1,zero,0.027356624603271484,True,0.9999009370803833,0.7216865420341492,-0.27821439504623413
A0,/kaggle/input/datasets/tawsifurrahman/covid19-radiography-database/COVID-19_Radiography_Dataset/COVID/images/COVID-1115.png,0,0,0,zero,0.8970585465431213,False,0.9999998807907104,0.8970584273338318,-0.10294145345687866
A0,/kaggle/input/datasets/tawsifurrahman/covid19-radiography-database/COVID-19_Radiography_Dataset/COVID/images/COVID-1116.png,0,0,0,zero,0.9971750974655151,False,0.9971635937690735,0.999988317489624,0.002824723720550537
A0,/kaggle/input/datasets/tawsifurrahman/covid19-radiography-database/COVID-19_Radiography_Dataset/COVID/images/COVID-1127.png,0,0,0,zero,0.43598830699920654,False,0.9990123510360718,0.43500062823295593,-0.5640116930007935
A0,/kaggle/input/datasets/tawsifurrahman/covid19-radiography-database/COVID-19_Radiography_Dataset/COVID/images/COVID-113.png,0,0,0,zero,0.9947502613067627,False,0.9994736313819885,0.9942238926887512,-0.005249738693237305
A0,/kaggle/input/datasets/tawsifurrahman/covid19-radiography-database/COVID-19_Radiography_Dataset/COVID/images/COVID-1142.png,0,0,0,zero,0.9924554228782654,False,0.999883770942688,0.9923392534255981,-0.007544517517089844
A0,/kaggle/input/datasets/tawsifurrahman/covid19-radiography-database/COVID-19_Radiography_Dataset/COVID/images/COVID-1143.png,0,0,0,zero,0.9985477328300476,False,0.9985458850860596,0.9999980926513672,0.0014522075653076172
A0,/kaggle/input/datasets/tawsifurrahman/covid19-radiography-database/COVID-19_Radiography_Dataset/COVID/images/COVID-1147.png,0,0,0,zero,0.9837969541549683,False,0.9763897061347961,0.9925927519798279,0.01620304584503174
A0,/kaggle/input/datasets/tawsifurrahman/covid19-radiography-database/COVID-19_Radiography_Dataset/COVID/images/COVID-1160.png,0,0,0,zero,0.9867671728134155,False,0.9972358345985413,0.9840030074119568,-0.013232827186584473
A0,/kaggle/input/datasets/tawsifurrahman/covid19-radiography-database/COVID-19_Radiography_Dataset/COVID/images/COVID-1166.png,0,0,0,zero,0.6889432072639465,False,0.6522583365440369,0.9554686546325684,0.3032103180885315
A0,/kaggle/input/datasets/tawsifurrahman/covid19-radiography-database/COVID-19_Radiography_Dataset/COVID/images/COVID-1169.png,0,0,0,zero,0.9788987636566162,False,0.9997425675392151,0.9786413311958313,-0.02110123634338379
A0,/kaggle/input/datasets/tawsifurrahman/covid19-radiography-database/COVID-19_Radiography_Dataset/COVID/images/COVID-118.png,0,0,3,zero,0.023883581161499023,True,0.9887680411338806,0.9615395069122314,-0.02722853422164917
A0,/kaggle/input/datasets/tawsifurrahman/covid19-radiography-database/COVID-19_Radiography_Dataset/COVID/images/COVID-1182.png,0,0,0,zero,0.9939631223678589,False,0.9999585151672363,0.9939216375350952,-0.006036877632141113
A0,/kaggle/input/datasets/tawsifurrahman/covid19-radiography-database/COVID-19_Radiography_Dataset/COVID/images/COVID-1184.png,0,0,0,zero,0.9999499320983887,False,0.999948263168335,0.9999029636383057,-4.5299530029296875e-05
A0,/kaggle/input/datasets/tawsifurrahman/covid19-radiography-database/COVID-19_Radiography_Dataset/COVID/images/COVID-1193.png,0,0,0,zero,0.931111752986908,False,0.9309991002082825,0.9974740147590637,0.06647491455078125
A0,/kaggle/input/datasets/tawsifurrahman/covid19-radiography-database/COVID-19_Radiography_Dataset/COVID/images/COVID-120.png,0,0,0,zero,0.9996232390403748,False,0.9999585151672363,0.9995817542076111,-0.00037676095962524414
A0,/kaggle/input/datasets/tawsifurrahman/covid19-radiography-database/COVID-19_Radiography_Dataset/COVID/images/COVID-1200.png,0,0,0,zero,0.9958996176719666,False,0.9999996423721313,0.9958992600440979,-0.004100382328033447
A0,/kaggle/input/datasets/tawsifurrahman/covid19-radiography-database/COVID-19_Radiography_Dataset/COVID/images/COVID-1203.png,0,0,0,zero,0.9557511210441589,False,0.9999474287033081,0.955746591091156,-0.0442008376121521
A0,/kaggle/input/datasets/tawsifurrahman/covid19-radiography-database/COVID-19_Radiography_Dataset/COVID/images/COVID-121.png,0,2,0,zero,0.2387000322341919,True,0.7514050006866455,0.8697121739387512,0.11830717325210571
A0,/kaggle/input/datasets/tawsifurrahman/covid19-radiography-database/COVID-19_Radiography_Dataset/COVID/images/COVID-1216.png,0,0,0,zero,0.9996976256370544,False,0.9996875524520874,0.9999898672103882,0.00030231475830078125
A0,/kaggle/input/datasets/tawsifurrahman/covid19-radiography-database/COVID-19_Radiography_Dataset/COVID/images/COVID-1219.png,0,0,1,zero,0.06174516677856445,True,0.9982774257659912,0.9395304322242737,-0.05874699354171753
A0,/kaggle/input/datasets/tawsifurrahman/covid19-radiography-database/COVID-19_Radiography_Dataset/COVID/images/COVID-1222.png,0,0,0,zero,0.939831018447876,False,0.8459481596946716,0.9020824432373047,0.05613428354263306
A0,/kaggle/input/datasets/tawsifurrahman/covid19-radiography-database/COVID-19_Radiography_Dataset/COVID/images/COVID-1228.png,0,0,0,zero,0.9999950528144836,False,0.9999862909317017,0.9999911785125732,4.887580871582031e-06
A0,/kaggle/input/datasets/tawsifurrahman/covid19-radiography-database/COVID-19_Radiography_Dataset/COVID/images/COVID-1236.png,0,0,0,zero,0.9394360780715942,False,0.9384940266609192,0.9721107482910156,0.033616721630096436
A0,/kaggle/input/datasets/tawsifurrahman/covid19-radiography-database/COVID-19_Radiography_Dataset/COVID/images/COVID-1239.png,0,0,0,zero,0.9997626543045044,False,1.0,0.9997625946998596,-0.00023740530014038086
A0,/kaggle/input/datasets/tawsifurrahman/covid19-radiography-database/COVID-19_Radiography_Dataset/COVID/images/COVID-1250.png,0,0,3,zero,0.072079598903656,True,0.9998509883880615,0.9162654280662537,-0.08358556032180786
A0,/kaggle/input/datasets/tawsifurrahman/covid19-radiography-database/COVID-19_Radiography_Dataset/COVID/images/COVID-1262.png,0,0,0,zero,0.9956231713294983,False,0.9999154806137085,0.9955386519432068,-0.004376828670501709
A0,/kaggle/input/datasets/tawsifurrahman/covid19-radiography-database/COVID-19_Radiography_Dataset/COVID/images/COVID-1287.png,0,0,0,zero,0.8649526834487915,False,0.8649513721466064,0.9999979734420776,0.1350466012954712
