arm,image_path,true_label,original_prediction,perturbed_prediction,mode,stability,prediction_flipped,original_confidence,perturbed_confidence,confidence_change
A0,/kaggle/input/datasets/tawsifurrahman/covid19-radiography-database/COVID-19_Radiography_Dataset/COVID/images/COVID-1000.png,0,0,0,zero,0.999648928642273,False,0.9995757937431335,0.9999269247055054,0.0003511309623718
A0,/kaggle/input/datasets/tawsifurrahman/covid19-radiography-database/COVID-19_Radiography_Dataset/COVID/images/COVID-1002.png,0,0,0,zero,0.9865993857383728,False,0.998955249786377,0.9864315390586852,-0.0125237107276916
A0,/kaggle/input/datasets/tawsifurrahman/covid19-radiography-database/COVID-19_Radiography_Dataset/COVID/images/COVID-1006.png,0,0,0,zero,0.9998999834060668,False,0.9999998807907104,0.9998998641967772,-0.0001000165939331
A0,/kaggle/input/datasets/tawsifurrahman/covid19-radiography-database/COVID-19_Radiography_Dataset/COVID/images/COVID-1015.png,0,1,0,zero,0.2306329011917114,True,0.7701684236526489,0.994460940361023,0.224292516708374
A0,/kaggle/input/datasets/tawsifurrahman/covid19-radiography-database/COVID-19_Radiography_Dataset/COVID/images/COVID-1017.png,0,0,0,zero,0.978928565979004,False,0.998200297355652,0.9771511554718018,-0.02104914188385
A0,/kaggle/input/datasets/tawsifurrahman/covid19-radiography-database/COVID-19_Radiography_Dataset/COVID/images/COVID-1022.png,0,0,0,zero,0.999990940093994,False,0.9999996423721312,0.9999905824661256,-9.059906005859377e-06
A0,/kaggle/input/datasets/tawsifurrahman/covid19-radiography-database/COVID-19_Radiography_Dataset/COVID/images/COVID-1036.png,0,0,0,zero,0.9999886751174928,False,0.9999783039093018,0.9999887943267822,1.049041748046875e-05
A0,/kaggle/input/datasets/tawsifurrahman/covid19-radiography-database/COVID-19_Radiography_Dataset/COVID/images/COVID-1040.png,0,0,0,zero,0.5078430771827698,False,0.9999704360961914,0.5078135132789612,-0.4921569228172302
A0,/kaggle/input/datasets/tawsifurrahman/covid19-radiography-database/COVID-19_Radiography_Dataset/COVID/images/COVID-1043.png,0,0,0,zero,0.9915486574172974,False,0.9998499155044556,0.9913985729217528,-0.0084513425827026
A0,/kaggle/input/datasets/tawsifurrahman/covid19-radiography-database/COVID-19_Radiography_Dataset/COVID/images/COVID-1048.png,0,0,0,zero,0.9997231960296632,False,0.9995933175086976,0.9998364448547364,0.0002431273460388
A0,/kaggle/input/datasets/tawsifurrahman/covid19-radiography-database/COVID-19_Radiography_Dataset/COVID/images/COVID-1056.png,0,0,0,zero,0.6859239935874939,False,0.995824098587036,0.6818049550056458,-0.3140191435813904
A0,/kaggle/input/datasets/tawsifurrahman/covid19-radiography-database/COVID-19_Radiography_Dataset/COVID/images/COVID-1058.png,0,0,0,zero,0.9998692274093628,False,0.999958038330078,0.9998273253440856,-0.0001307129859924
A0,/kaggle/input/datasets/tawsifurrahman/covid19-radiography-database/COVID-19_Radiography_Dataset/COVID/images/COVID-106.png,0,0,0,zero,0.98507422208786,False,0.9999791383743286,0.9850533604621888,-0.0149257779121398
A0,/kaggle/input/datasets/tawsifurrahman/covid19-radiography-database/COVID-19_Radiography_Dataset/COVID/images/COVID-1065.png,0,0,0,zero,0.9987978339195251,False,0.9989668130874634,0.9980308413505554,-0.0009359717369079
A0,/kaggle/input/datasets/tawsifurrahman/covid19-radiography-database/COVID-19_Radiography_Dataset/COVID/images/COVID-107.png,0,0,0,zero,0.9917089343070984,False,0.9915905594825744,0.9995718598365784,0.0079813003540039
A0,/kaggle/input/datasets/tawsifurrahman/covid19-radiography-database/COVID-19_Radiography_Dataset/COVID/images/COVID-108.png,0,0,0,zero,0.997978687286377,False,0.9978739023208618,0.9997469782829284,0.0018730759620666
A0,/kaggle/input/datasets/tawsifurrahman/covid19-radiography-database/COVID-19_Radiography_Dataset/COVID/images/COVID-11.png,0,0,0,zero,0.997782289981842,False,0.9987389445304872,0.9965212345123292,-0.0022177100181579
A0,/kaggle/input/datasets/tawsifurrahman/covid19-radiography-database/COVID-19_Radiography_Dataset/COVID/images/COVID-1100.png,0,0,0,zero,0.9939318299293518,False,0.999671459197998,0.99360328912735,-0.0060681700706481
A0,/kaggle/input/datasets/tawsifurrahman/covid19-radiography-database/COVID-19_Radiography_Dataset/COVID/images/COVID-1102.png,0,0,0,zero,0.9935443997383118,False,0.9930676221847534,0.999088168144226,0.0060205459594726
A0,/kaggle/input/datasets/tawsifurrahman/covid19-radiography-database/COVID-19_Radiography_Dataset/COVID/images/COVID-1105.png,0,0,0,zero,0.9088621139526368,False,0.9088189601898192,0.9995790123939514,0.090760052204132
A0,/kaggle/input/datasets/tawsifurrahman/covid19-radiography-database/COVID-19_Radiography_Dataset/COVID/images/COVID-1108.png,0,0,0,zero,0.999634087085724,False,0.999582827091217,0.9999477863311768,0.0003649592399597
